score,job_title,company,location,visa_status,posted,apply_link,rejection_reason
0,AI/ML Engineer - Fulltime,Jobs via Dice,"Lebanon, NJ",Not Evaluated,19 hours ago,https://www.linkedin.com/jobs/view/ai-ml-engineer-fulltime-at-jobs-via-dice-4385797678?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Blocked company: 'jobs via dice'
0,Principal Software Engineer - Machine Learning,Oracle,"Providence, RI",Not Evaluated,20 hours ago,https://jobs.wtnh.com/jobs/principal-software-engineer-machine-learning-providence-rhode-island/2678597788-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'principal software engineer - machine learning'
0,Sr/ Lead/ Machine Learning Engineer /Enterprise Platforms Technology/,Capital One,"New York, NY",Not Evaluated,24 hours ago,https://grabjobs.co/us/job/full-time/others/sr-lead-machine-learning-engineer-enterprise-platforms-technology-155564259?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'united kingdom'
0,Machine Learning Engineer,"BOOZ, ALLEN & HAMILTON, INC.","Capitol Heights, MD",Not Evaluated,5 hours ago,https://jobs.womenforhire.com/job/usa/capitol-heights-md/machine-learning-engineer-298423/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,"Sr. Mechanical Engineer, Annapurna Labs, Machine Learning Hardware",Annapurna Labs (U.S.) Inc.,"Seattle, WA",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=a7d639729f5224e7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'sr. mechanical engineer, annapurna labs, machine learning hardware'"
0,"Machine Learning Engineer - Backend/Data Engineer: Agentic Workflows, Siri Core Modeling",Apple,"Cupertino, CA",Not Evaluated,20 hours ago,https://jobs.valleycentral.com/jobs/machine-learning-engineer-backend-data-engineer-agentic-workflows-siri-core-modeling-cupertino-calif/2678572524-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'apac'
0,Senior Data Scientist - Developer Platform,Coinbase,"Denver, CO",Not Evaluated,17 hours ago,https://jobs.stevenagefc.com/jobs/senior-data-scientist-developer-platform-denver-colorado/2678809337-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior data scientist - developer platform'
0,"Data Scientist, Associate Scientist",Takeda,"Santa Fe, NM",Not Evaluated,15 hours ago,https://simplify.jobs/p/a7375a8d-9666-45fa-a76f-3cf2a672d59b/Data-Scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'mexico'
0,Data Scientist - Improve Cash Advance Repayment Prediction Model Using Amazon SageMaker Autopilot,Upwork,Anywhere,Not Evaluated,21 hours ago,https://www.upwork.com/freelance-jobs/apply/Data-Scientist-Improve-Cash-Advance-Repayment-Prediction-Model-Using-Amazon-SageMaker-Autopilot_~022035218326580562538/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'paris'
0,Senior Data Scientist Credit Modelling BGL,BNP Paribas,"Granada, CO",Not Evaluated,2 hours ago,https://www.recruit.net/job/data-scientist-credit-modelling-bgl-jobs/A40F64325C97A123?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'spain'
